Ech;Zone;Champ;X;Y;Z;OrdreChamp
1;1;94;-5350;-1310.8;-2721.313;1
1;1;202;-12062.4;-1663.8;-2728.637;3
1;1;301;1716.2;-2370.2;-2689.957;4
1;1;375;-3583.6;-2723.8;-2694.511;5
1;1;475;-11002.4;-3077.2;-2703.219;9
1;1;145;8074.8;-1663.6;-2689.161;10
1;1;479;-12415.2;-3077;-2705.99;11
1;1;204;-12768.8;-1663.6;-2730.022;12
1;1;151;5955.2;-1663.4;-2693.317;13
1;1;409;8428.6;-2723.8;-2670.964;15
