Ech;Zone;Champ;X;Y;Z;OrdreChamp
1;1;111;-5402;-377;-2193.645;1
1;1;382;-11408.2;-1790.2;-2165.968;2
1;1;310;-1162.8;-1437;-2184.175;3
1;1;40;-7522;-24;-2195.889;4
1;1;133;2370;-377.2;-2203.678;5
1;1;458;-2576.4;-2143.4;-2172.389;6
1;1;286;5549.4;-1083.8;-2197.821;7
1;1;123;-1163.2;-377.2;-2199.118;8
1;1;476;-8935;-2143.6;-2164.18;9
1;1;295;4136.6;-1437.2;-2191.016;10
