Echantillon;Zone;Image;XIma;YIma;Indice;IndiceV;IndiceH;NbInterceptsV;NbInterceptsH;NbIntercepts;P7;P8;P9;Taille_Pixel;Surface_Image;Taille_Image;Grossissement;Date;Nom image;Session
1;1;167;7860.6;-3415.6;6.58766069324616;6.58766069324616;6.58766069324616;11;11;22;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-33-50;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_167.tif;ISO 643_INT_289071_2022-06-07_10-33-10
1;1;80;5740.8;-2355.6;6.47615164273264;7.28351188856607;5.6687913968992;14;8;22;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-34-23;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_80.tif;ISO 643_INT_289071_2022-06-07_10-33-10
1;1;42;6093.8;-2002.4;5.99072161461131;5.6687913968992;6.31265183232343;8;10;18;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-34-54;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_42.tif;ISO 643_INT_289071_2022-06-07_10-33-10
1;1;100;5387.4;-2709;6.47615164273264;5.6687913968992;7.28351188856607;8;14;22;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-35-38;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_100.tif;ISO 643_INT_289071_2022-06-07_10-33-10
1;1;284;6800.6;-4828.8;5.25375116082326;3.66877820870728;6.83872411293924;4;12;16;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-36-10;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_284.tif;ISO 643_INT_289071_2022-06-07_10-33-10
1;1;318;6446.8;-5181.8;4.83871092474732;2.83869773655539;6.83872411293924;3;12;15;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-36-50;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_318.tif;ISO 643_INT_289071_2022-06-07_10-33-10
1;1;4;11393.4;-1649.2;7.42369047095926;6.83872411293924;8.00865682897928;12;18;30;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-37-38;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_4.tif;ISO 643_INT_289071_2022-06-07_10-33-10
1;1;241;12453.2;-4475.6;3.99070842641939;4.3126386441315;3.66877820870728;5;4;9;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-37-57;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_241.tif;ISO 643_INT_289071_2022-06-07_10-33-10
1;1;51;9273.2;-2002.4;6.4236838768633;6.83872411293924;6.00864364078736;12;9;21;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-38-30;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_51.tif;ISO 643_INT_289071_2022-06-07_10-33-10
1;1;189;9627;-3768.8;6.16064773655539;6.31265183232343;6.00864364078736;10;9;19;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-39-09;D:\Sessions Metalia\C Camus\ISO 643_INT_289071_2022-06-07_10-33-10\Images_289071\289071_Champ_1_1_189.tif;ISO 643_INT_289071_2022-06-07_10-33-10
