Ech;Zone;Champ;X;Y;Z;OrdreChamp
1;1;390;19989;-5698.2;-12178.144;1
1;1;2097;10450;-15589.8;-12070.087;2
1;1;179;9743.8;-4285;-12236.505;3
1;1;1882;16810;-14530;-12061.943;4
1;1;1372;12216.2;-11350.6;-12124.99;5
1;1;359;29881;-5345;-12146.702;6
1;1;53;11863.2;-3578.4;-12238.906;7
1;1;606;28468.2;-7111.4;-12126.333;8
1;1;1611;12569.8;-12764;-12103.209;9
1;1;1858;10096.8;-14177;-12091.877;10
