Ech;Zone;Champ;X;Y;Z;OrdreChamp
1;1;405;27349.6;-11834.2;-13258.484;1
1;1;804;28055.6;-13600.6;-13232.87;2
1;1;487;10744.8;-12187.8;-13328.757;3
1;1;763;13571.2;-13600.6;-13298.085;4
1;1;100;16044.2;-10068.2;-13331.818;5
1;1;738;4738.6;-13601;-13337.851;6
1;1;609;6505.6;-12894.2;-13338.871;7
1;1;14;23462.8;-9714.4;-13302.902;8
1;1;478;7564.8;-12187.8;-13343.073;9
1;1;586;10744.8;-12540.8;-13324.271;10
