Echantillon;Zone;Image;XIma;YIma;Indice;IndiceV;IndiceH;NbInterceptsV;NbInterceptsH;NbIntercepts;P7;P8;P9;Taille_Pixel;Surface_Image;Taille_Image;Grossissement;Date;Nom image;Session
1;1;375;9169;-14598.6;5.47614504863668;5.6687913968992;5.28349870037415;8;7;15;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_10-59-34;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif;ISO 643_INT_277171_2022-06-07_10-59-04
1;1;106;14822.2;-11420;6.4236838768633;6.00864364078736;6.83872411293924;9;12;21;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_11-00-05;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif;ISO 643_INT_277171_2022-06-07_10-59-04
1;1;112;16941.8;-11419.8;5.83871751884328;5.6687913968992;6.00864364078736;8;9;17;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_11-00-28;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_112.tif;ISO 643_INT_277171_2022-06-07_10-59-04
1;1;235;17648.2;-13185.6;6.4236838768633;6.83872411293924;6.00864364078736;12;9;21;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_11-00-54;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_235.tif;ISO 643_INT_277171_2022-06-07_10-59-04
1;1;128;14468.6;-11772.8;5.83871751884328;5.6687913968992;6.00864364078736;8;9;17;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_11-01-19;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_128.tif;ISO 643_INT_277171_2022-06-07_10-59-04
1;1;48;14822;-10712.8;6.29815216701676;6.00864364078736;6.58766069324616;9;11;20;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_11-01-46;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_48.tif;ISO 643_INT_277171_2022-06-07_10-59-04
1;1;351;17648.4;-14599;5.84870167325194;7.38476470237238;4.3126386441315;14.5;5;19.5;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_11-02-18;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_351.tif;ISO 643_INT_277171_2022-06-07_10-59-04
1;1;238;16588.2;-13185.8;5.47614504863668;5.6687913968992;5.28349870037415;8;7;15;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_11-02-44;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_238.tif;ISO 643_INT_277171_2022-06-07_10-59-04
1;1;360;14469;-14598.8;5.06110481256073;4.83871092474732;5.28349870037415;6;7;13;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_11-03-17;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_360.tif;ISO 643_INT_277171_2022-06-07_10-59-04
1;1;160;13408.6;-12125.8;6.25375775491922;7.66880458509113;4.83871092474732;16;6;22;-1;-1;-1;0.345;0.12;1024;100;2022-06-07_11-03-44;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_160.tif;ISO 643_INT_277171_2022-06-07_10-59-04
