NEch;NZon;NCha;NObj;XChE;YChE;ZChE;XObC;YObC;XObE;YObE;IPos;Cor_Bord;Taille_Pixel;Unite;Phase;Sens;Longueur;G;Diamètre;P6;P7;P8;P9;P10;Nom image
1;1;375;1;9169;-14598.6;-13428.408;194.5;497;-1;-1;0.5;non;0.345;µm;1;H;134.90;0.447;297.85;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;2;9169;-14598.6;-13428.408;528.5;497;-1;-1;1;non;0.345;µm;1;H;95.57;3.441;105.50;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;3;9169;-14598.6;-13428.408;710.5;497;-1;-1;1;non;0.345;µm;1;H;30.02;6.783;33.14;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;4;9169;-14598.6;-13428.408;772.5;497;-1;-1;1;non;0.345;µm;1;H;12.77;9.250;14.09;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;5;9169;-14598.6;-13428.408;803.5;497;-1;-1;1;non;0.345;µm;1;H;8.63;10.381;9.52;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;6;9169;-14598.6;-13428.408;830.5;497;-1;-1;1;non;0.345;µm;1;H;10.01;9.953;11.05;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;7;9169;-14598.6;-13428.408;921;497;-1;-1;1;non;0.345;µm;1;H;52.44;5.173;57.89;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;8;9169;-14598.6;-13428.408;1010.5;497;-1;-1;0.5;non;0.345;µm;1;H;9.32;8.159;20.57;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;9;9169;-14598.6;-13428.408;497;117.5;-1;-1;0.5;non;0.345;µm;1;V;81.77;1.891;180.54;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;10;9169;-14598.6;-13428.408;497;279.5;-1;-1;1;non;0.345;µm;1;V;30.02;6.783;33.14;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;11;9169;-14598.6;-13428.408;497;337.5;-1;-1;1;non;0.345;µm;1;V;10.01;9.953;11.05;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;12;9169;-14598.6;-13428.408;497;376;-1;-1;1;non;0.345;µm;1;V;16.56;8.499;18.28;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;13;9169;-14598.6;-13428.408;497;583;-1;-1;1;non;0.345;µm;1;V;126.27;2.637;139.40;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;14;9169;-14598.6;-13428.408;497;800.5;-1;-1;1;non;0.345;µm;1;V;23.81;7.452;26.28;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;15;9169;-14598.6;-13428.408;497;906;-1;-1;1;non;0.345;µm;1;V;48.99;5.369;54.08;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;16;9169;-14598.6;-13428.408;497;989;-1;-1;1;non;0.345;µm;1;V;8.28;10.499;9.14;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;375;17;9169;-14598.6;-13428.408;497;1012.5;-1;-1;0.5;non;0.345;µm;1;V;7.94;8.622;17.52;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_375.tif
1;1;106;1;14822.2;-11420;-13488.877;42.5;497;-1;-1;0.5;non;0.345;µm;1;H;30.02;4.783;66.27;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;2;14822.2;-11420;-13488.877;129.5;497;-1;-1;1;non;0.345;µm;1;H;30.02;6.783;33.14;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;3;14822.2;-11420;-13488.877;204;497;-1;-1;1;non;0.345;µm;1;H;21.39;7.760;23.61;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;4;14822.2;-11420;-13488.877;242.5;497;-1;-1;1;non;0.345;µm;1;H;5.18;11.855;5.71;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;5;14822.2;-11420;-13488.877;260.5;497;-1;-1;1;non;0.345;µm;1;H;7.25;10.884;8.00;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;6;14822.2;-11420;-13488.877;292;497;-1;-1;1;non;0.345;µm;1;H;14.49;8.884;16.00;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;7;14822.2;-11420;-13488.877;327;497;-1;-1;1;non;0.345;µm;1;H;9.66;10.054;10.66;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;8;14822.2;-11420;-13488.877;412;497;-1;-1;1;non;0.345;µm;1;H;48.99;5.369;54.08;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;9;14822.2;-11420;-13488.877;557.5;497;-1;-1;1;non;0.345;µm;1;H;51.41;5.230;56.75;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;10;14822.2;-11420;-13488.877;665;497;-1;-1;1;non;0.345;µm;1;H;22.77;7.580;25.14;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;11;14822.2;-11420;-13488.877;793.5;497;-1;-1;1;non;0.345;µm;1;H;65.90;4.514;72.75;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;12;14822.2;-11420;-13488.877;943.5;497;-1;-1;1;non;0.345;µm;1;H;37.61;6.132;41.52;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;13;14822.2;-11420;-13488.877;1011;497;-1;-1;0.5;non;0.345;µm;1;H;8.97;8.268;19.81;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;14;14822.2;-11420;-13488.877;497;8.5;-1;-1;0.5;non;0.345;µm;1;V;6.56;9.173;14.47;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;15;14822.2;-11420;-13488.877;497;45.5;-1;-1;1;non;0.345;µm;1;V;18.98;8.106;20.95;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;16;14822.2;-11420;-13488.877;497;211;-1;-1;1;non;0.345;µm;1;V;95.22;3.452;105.12;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
1;1;106;17;14822.2;-11420;-13488.877;497;381.5;-1;-1;1;non;0.345;µm;1;V;22.43;7.624;24.76;-1;-1;-1;-1;-1;D:\Sessions Metalia\C Camus\ISO 643_INT_277171_2022-06-07_10-59-04\Images_277171\277171_Champ_1_1_106.tif
