Echantillon;Zone;Image;XIma;YIma;Phase;% Moy;P3;P4;P5;P6;P7;P8;P9;Taille_Pixel;Surface_Image;Taille_Image;Grossissement;Date;Nom image;Session
1;1;2375;2678.2;-16631.8;FERRITE;59.3;-1;-1;-1;-1;-1;-1;-1;0.345;0.12;1024;100;2022-10-21_09-37-25;D:\Sessions Metalia\C Camus\Fraction Phase_SEU_UM_2022-10-21_09-34-22\Images_UM\UM_Champ_1_1_2375.tif;Fraction Phase_SEU_UM_2022-10-21_09-34-22
1;1;3215;5858.4;-21224.4;FERRITE;56.6;-1;-1;-1;-1;-1;-1;-1;0.345;0.12;1024;100;2022-10-21_09-37-31;D:\Sessions Metalia\C Camus\Fraction Phase_SEU_UM_2022-10-21_09-34-22\Images_UM\UM_Champ_1_1_3215.tif;Fraction Phase_SEU_UM_2022-10-21_09-34-22
1;1;374;8684;-5326.8;FERRITE;57.9;-1;-1;-1;-1;-1;-1;-1;0.345;0.12;1024;100;2022-10-21_09-37-36;D:\Sessions Metalia\C Camus\Fraction Phase_SEU_UM_2022-10-21_09-34-22\Images_UM\UM_Champ_1_1_374.tif;Fraction Phase_SEU_UM_2022-10-21_09-34-22
1;1;2953;911.8;-19811.4;FERRITE;61.0;-1;-1;-1;-1;-1;-1;-1;0.345;0.12;1024;100;2022-10-21_09-37-41;D:\Sessions Metalia\C Camus\Fraction Phase_SEU_UM_2022-10-21_09-34-22\Images_UM\UM_Champ_1_1_2953.tif;Fraction Phase_SEU_UM_2022-10-21_09-34-22
1;1;284;-3327.2;-4620.4;FERRITE;61.7;-1;-1;-1;-1;-1;-1;-1;0.345;0.12;1024;100;2022-10-21_09-37-46;D:\Sessions Metalia\C Camus\Fraction Phase_SEU_UM_2022-10-21_09-34-22\Images_UM\UM_Champ_1_1_284.tif;Fraction Phase_SEU_UM_2022-10-21_09-34-22
1;1;1253;4798.6;-10272.4;FERRITE;65.6;-1;-1;-1;-1;-1;-1;-1;0.345;0.12;1024;100;2022-10-21_09-37-52;D:\Sessions Metalia\C Camus\Fraction Phase_SEU_UM_2022-10-21_09-34-22\Images_UM\UM_Champ_1_1_1253.tif;Fraction Phase_SEU_UM_2022-10-21_09-34-22
1;1;1671;-11452.6;-12392.4;FERRITE;65.0;-1;-1;-1;-1;-1;-1;-1;0.345;0.12;1024;100;2022-10-21_09-37-58;D:\Sessions Metalia\C Camus\Fraction Phase_SEU_UM_2022-10-21_09-34-22\Images_UM\UM_Champ_1_1_1671.tif;Fraction Phase_SEU_UM_2022-10-21_09-34-22
1;1;277;-854;-4620.2;FERRITE;58.4;-1;-1;-1;-1;-1;-1;-1;0.345;0.12;1024;100;2022-10-21_09-38-03;D:\Sessions Metalia\C Camus\Fraction Phase_SEU_UM_2022-10-21_09-34-22\Images_UM\UM_Champ_1_1_277.tif;Fraction Phase_SEU_UM_2022-10-21_09-34-22
1;1;2157;-7919.8;-15218.8;FERRITE;62.7;-1;-1;-1;-1;-1;-1;-1;0.345;0.12;1024;100;2022-10-21_09-38-10;D:\Sessions Metalia\C Camus\Fraction Phase_SEU_UM_2022-10-21_09-34-22\Images_UM\UM_Champ_1_1_2157.tif;Fraction Phase_SEU_UM_2022-10-21_09-34-22
1;1;1536;-7566.6;-11685.6;FERRITE;63.4;-1;-1;-1;-1;-1;-1;-1;0.345;0.12;1024;100;2022-10-21_09-38-16;D:\Sessions Metalia\C Camus\Fraction Phase_SEU_UM_2022-10-21_09-34-22\Images_UM\UM_Champ_1_1_1536.tif;Fraction Phase_SEU_UM_2022-10-21_09-34-22
1;1;690;-10039.8;-7093.6;FERRITE;61.9;-1;-1;-1;-1;-1;-1;-1;0.345;0.12;1024;100;2022-10-21_09-38-25;D:\Sessions Metalia\C Camus\Fraction Phase_SEU_UM_2022-10-21_09-34-22\Images_UM\UM_Champ_1_1_690.tif;Fraction Phase_SEU_UM_2022-10-21_09-34-22
1;1;1097;2325.6;-9212.8;FERRITE;64.1;-1;-1;-1;-1;-1;-1;-1;0.345;0.12;1024;100;2022-10-21_09-38-36;D:\Sessions Metalia\C Camus\Fraction Phase_SEU_UM_2022-10-21_09-34-22\Images_UM\UM_Champ_1_1_1097.tif;Fraction Phase_SEU_UM_2022-10-21_09-34-22
