Ech;Zone;Champ;X;Y;Z;OrdreChamp
1;1;42;7778;-10864.4;-12372.054;1
1;1;267;15550.6;-13337.6;-12348.456;2
1;1;72;14490.4;-11217.4;-12375.122;3
1;1;426;6011.8;-14750.4;-12318.948;4
1;1;395;15904.2;-14397.6;-12334.92;5
1;1;337;14137.4;-14044.6;-12336.715;6
1;1;64;15551;-10864.4;-12380.982;7
1;1;464;15904;-15457.2;-12320.981;8
1;1;368;6364.8;-14397.2;-12323.999;9
1;1;280;10957.8;-13337;-12343.198;10
